,order,aisle,position
0,o001,3,17
1,o001,2,31
2,o002,3,32
3,o002,2,28
4,o002,3,29
5,o002,1,38
6,o003,6,2
7,o004,3,25
8,o005,6,34
9,o005,2,32
10,o006,1,15
11,o006,4,2
12,o006,1,12
13,o006,5,19
14,o006,2,33
15,o007,5,13
16,o007,2,33
17,o007,1,31
18,o007,2,27
19,o008,2,6
20,o008,1,11
21,o009,4,32
22,o009,4,3
23,o009,2,11
24,o009,1,1
25,o009,5,36
26,o010,2,37
27,o010,2,36
28,o011,6,25
29,o011,5,33
30,o011,5,36
31,o011,1,31
32,o011,10,36
33,o012,9,32
34,o012,4,23
35,o013,5,40
36,o014,1,15
37,o014,5,38
38,o014,1,36
39,o015,1,6
40,o015,9,1
41,o015,4,16
