secID,partyID,ticker,secShortName,exchangeCD,endDate,grossMARgin,npMARgin,ROE,ROEA,ROEW,ROECut,ROECutW,ROA,ROAEBIT,ROIC
000848.XSHE,395,000848,承德露露,XSHE,2017-12-31,47.2523,19.7993,20.6968,20.8123,21.52,20.7097,21.13,14.1549,18.331,19.9975
000848.XSHE,395,000848,承德露露,XSHE,2016-12-31,43.9381,18.0778,22.7896,24.6603,24.83,22.9252,24.98,16.3115,21.0493,23.7622
000848.XSHE,395,000848,承德露露,XSHE,2015-12-31,43.4911,17.3149,27.6331,30.9868,31.16,27.2031,30.68,21.5826,27.8336,29.8949
000848.XSHE,395,000848,承德露露,XSHE,2014-12-31,41.5377,16.6531,33.741,38.1348,38.52,32.988,37.66,24.1589,31.4034,37.0161
000848.XSHE,395,000848,承德露露,XSHE,2013-12-31,38.1821,13.0488,33.0363,36.9371,36.53,31.9186,35.3,20.0727,26.2702,36.1794
000848.XSHE,395,000848,承德露露,XSHE,2012-12-31,38.2224,10.6488,27.8968,28.6136,28.06,27.4715,27.64,14.953,20.0414,27.9632
000848.XSHE,395,000848,承德露露,XSHE,2011-12-31,33.6165,10.0416,25.5372,25.7228,26.25,25.1041,25.87,13.5684,17.6128,24.7137
000848.XSHE,395,000848,承德露露,XSHE,2010-12-31,34.2219,9.8461,23.9081,25.6693,23.92,23.8775,23.89,14.3818,19.0401,24.6695
000848.XSHE,395,000848,承德露露,XSHE,2009-12-31,34.1465,10.6457,21.5353,22.6365,22.64,21.7034,22.81,13.2732,18.2106,21.3393
000848.XSHE,395,000848,承德露露,XSHE,2008-12-31,28.9822,7.6511,18.8937,19.4595,19.68,19.2044,20.01,11.1712,15.2635,17.575
000848.XSHE,395,000848,承德露露,XSHE,2007-12-31,30.5992,6.5865,15.9441,,17.11,20.5852,,,,
